Организация;Год;Фамилия и инициалы лица, чьи сведения размещаются;Владелец;Должность;вид объекта;вид собственности;площадь (кв. м);страна расположения;вид объекта;площадь (кв. м);страна расположения;Транспортные средства (вид, марка);Декларированный годовой доход <1> (руб.);Сведения об источниках получения средств, за счет которых совершена сделка <2> (вид приобретенного имущества, источники)
"Прокуратура Республики Коми";"2014";"Абрамов А.М.";"супруга";"";"квартира";"индивидуальная";"60.1";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2013";"Бажутов С.А.";"";"прокурор республики";"";"";"";"";"квартира";"103.4";"Россия";"";"2608443.11";""
"Прокуратура Республики Коми";"2013";"Бажутов С.А.";"супруга";"";"квартира";"индивидуальная";"72.2";"Россия";"квартира";"103.4";"Россия";"автомобиль МЕРСЕДЕС БЕНЦ GLK 300";"1449021.13";""
"Прокуратура Республики Коми";"2013";"Морозов П.С.";"";"первый заместитель прокурора республики";"гараж";"";"19.8";"Россия";"квартира";"101.5";"Россия";"";"7171422";""
"Прокуратура Республики Коми";"2013";"Морозов П.С.";"супруга";"";"квартира";"долевая 1/3 доли";"56.2";"Россия";"квартира";"102.5";"Россия";"автомобиль";"2661703";""
"Прокуратура Республики Коми";"2013";"Морозов П.С.";"супруга";"";"квартира";"индивидуальная";"100.5";"Россия";"";"";"";"ХУНДАЙ САНТА";"";""
"Прокуратура Республики Коми";"2013";"Морозов П.С.";"супруга";"";"квартира";"индивидуальная";"95.7";"Россия";"";"";"";"ФЕ";"";""
"Прокуратура Республики Коми";"2013";"Морозов П.С.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"101.5";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Морозов П.С.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"101.5";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Тильман Г.Э.";"";"заместитель прокурора республики";"квартира";"индивидуальная";"48.9";"Россия";"квартира";"53.6";"Россия";"";"2286890";""
"Прокуратура Республики Коми";"2013";"Тильман Г.Э.";"супруга";"";"квартира";"индивидуальная";"73.400000000000006";"Россия";"";"";"";"автомобили МЕРСЕДЕС Е-240,";"10622131";""
"Прокуратура Республики Коми";"2013";"Тильман Г.Э.";"супруга";"";"";"";"";"";"";"";"";"МЕРСЕДЕС С-350";"";""
"Прокуратура Республики Коми";"2013";"Филиппов М.В.";"";"прокурор г. Сыктывкара";"квартира";"долевая 9/10";"52.5";"Россия";"";"";"";"автомобиль ФОЛЬКСВАГЕН ГОЛЬФ";"1838265.65";""
"Прокуратура Республики Коми";"2013";"Филиппов М.В.";"супруга";"";"квартира";"долевая 1/10";"52.5";"Россия";"";"";"";"";"579120.38";""
"Прокуратура Республики Коми";"2013";"Филиппов М.В.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"52.5";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Филиппов М.В.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"52.5";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Сарвилин Р.А.";"";"прокурор Эжвинского района города Сыктывкара";"квартира";"долевая 1/4 доли";"90.8";"Россия";"";"";"";"автомобиль ВАЗ- 21103";"1780210.01";""
"Прокуратура Республики Коми";"2013";"Сарвилин Р.А.";"супруга";"";"квартира";"долевая 1/4 доли";"90,8 870";"Россия";"";"";"";"";"1921448.22";""
"Прокуратура Республики Коми";"2013";"Сарвилин Р.А.";"супруга";"";"земельный участок";"индивидуальная";"";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2013";"Сарвилин Р.А.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"90.8";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Сарвилин Р.А.";"несовершеннолетний ребенок";"";"квартира (пользование)";"";"";"";"квартира";"90.8";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Пустаханов А.А.";"";"прокурор города Воркуты";"квартира";"долевая 1/5 доли";"110.5";"Россия";"";"";"";"автомобиль  ФОЛЬКСВАГЕН  2Н АМАРОК";"2511103.48";""
"Прокуратура Республики Коми";"2013";"Пустаханов А.А.";"";"";"";"";"";"";"";"";"";"снегоход  АРКТИК КЕТ  БЕРКУТ 570 ХТ";"";""
"Прокуратура Республики Коми";"2013";"Пустаханов А.А.";"супруга";"";"квартира";"долевая 1/5 доли";"110.5";"Россия";"";"";"";"";"139376.10999999999";""
"Прокуратура Республики Коми";"2013";"Пустаханов А.А.";"несовершеннолетний ребенок";"";"квартира";"долевая 1/5 доли";"110.5";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2013";"Пустаханов А.А.";"несовершеннолетний ребенок";"";"квартира";"долевая 1/5 доли";"110.5";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2013";"Пустаханов А.А.";"несовершеннолетний ребенок";"";"квартира";"долевая 1/5 доли";"110.5";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2013";"Климов А.Р.";"";"прокурор города Инты";"";"";"";"";"квартира";"64.3";"Россия";"";"2977323.18";""
"Прокуратура Республики Коми";"2013";"Климов А.Р.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"64.3";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Макаров Е.Д.";"";"прокурор Сыктывдинского района";"квартира";"долевая 1/100 доли";"113.3";"Россия";"";"";"";"автомобиль  КИА  СПОРТЕЙДЖ";"2061418.53";""
"Прокуратура Республики Коми";"2013";"Макаров Е.Д.";"";"";"гараж";"";"22";"Россия";"";"";"";"НИВА ШЕВРОЛЕ";"";""
"Прокуратура Республики Коми";"2013";"Макаров Е.Д.";"супруга";"";"квартира";"долевая 99/100 доли";"113.3";"Россия";"";"";"";"";"3676376.37";""
"Прокуратура Республики Коми";"2013";"Макаров Е.Д.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"113.3";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Макаров Е.Д.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"113.3";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Макаров Е.Д.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"114.3";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Трофимов В.А.";"";"прокурор города Вуктыла";"квартира";"долевая 1/3 доли";"62.1";"Россия";"квартира";"72.400000000000006";"Россия";"автомобиль НИССАН  ИКСТРЕИЛ";"1571864.32";""
"Прокуратура Республики Коми";"2013";"Трофимов В.А.";"";"";"земельный участок";"индивидуальная";"644";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2013";"Трофимов В.А.";"";"";"гараж";"индивидуальная";"23.4";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2013";"Трофимов В.А.";"супруга";"";"квартира";"долевая 1/2 доли";"35.5";"Россия";"квартира";"72.400000000000006";"Россия";"";"184999.84";""
"Прокуратура Республики Коми";"2013";"Трофимов В.А.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"72.400000000000006";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Перминов Д.С.";"";"Печорский природоохранный межрайонный прокурор";"жилой дом";"индивидуальная";"42.9";"Россия";"";"";"";"автомобиль УАЗ-396254";"2170985";""
"Прокуратура Республики Коми";"2013";"Перминов Д.С.";"";"";"квартира";"индивидуальная";"60.1";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2013";"Перминов Д.С.";"";"";"земельный участок";"индивидуальная";"752";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2013";"Перминов Д.С.";"супруга";"";"квартира";"долевая 1/6 доли";"53.9";"Россия";"квартира";"60.1";"Россия";"";"882079";""
"Прокуратура Республики Коми";"2013";"Перминов Д.С.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"60.1";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Перминов Д.С.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"60.1";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Абрамова Т.Н.";"";"прокурор города Сосногорска";"квартира";"долевая 1/100 доли";"147.9";"Россия";"";"";"";"";"778916.34";""
"Прокуратура Республики Коми";"2013";"Абрамова Т.Н.";"";"";"";"";"";"";"";"";"";"";"";""
"Прокуратура Республики Коми";"2013";"Абрамова Т.Н.";"";"";"";"";"";"";"";"";"";"";"";""
"Прокуратура Республики Коми";"2013";"Абрамова Т.Н.";"супруг";"";"квартира";"долевая 99/100 доли";"147.9";"Россия";"";"";"";"автомобиль НИССАН КАШКАЙ";"1470542.31";""
"Прокуратура Республики Коми";"2013";"Абрамова Т.Н.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"147.9";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Абрамова Т.Н.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"147.9";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Лихачев А.Н.";"";"прокурор города Усинска";"квартира";"индивидуальная";"78.3";"Россия";"квартира";"69.8";"Россия";"";"1900624.02";""
"Прокуратура Республики Коми";"2013";"Лихачев А.Н.";"";"";"гараж";"индивидуальная";"19.600000000000001";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2013";"Лихачев А.Н.";"";"";"гараж";"индивидуальная";"19.600000000000001";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2013";"Лихачев А.Н.";"супруга";"";"жилой дом";"индивидуальная";"33.1";"Россия";"квартира";"78.3";"Россия";"автомобиль ФОЛЬКСВАГЕН ТИГУАН";"442169.96";""
"Прокуратура Республики Коми";"2013";"Лихачев А.Н.";"супруга";"";"земельный участок";"индивидуальная";"1192";"Россия";"квартира";"69.8";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Лихачев А.Н.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"78.3";"Россия";"";"453532";""
"Прокуратура Республики Коми";"2013";"Лихачев А.Н.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"69.8";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Якимов П.А.";"";"прокурор города Ухты";"земельный участок";"";"1050";"Россия";"квартира";"63";"Россия";"автомобиль ФОЛЬКСВАГЕН  ДЖЕТТА";"1864250.04";""
"Прокуратура Республики Коми";"2013";"Якимов П.А.";"";"";"гараж";"";"19.8";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2013";"Якимов П.А.";"супруга";"";"";"";"";"";"квартира";"63";"Россия";"";"264625.78000000003";""
"Прокуратура Республики Коми";"2013";"Низовцев И.О.";"";"прокурор Ижемского района";"квартира";"индивидуальная";"37.799999999999997";"Россия";"квартира";"67.2";"Россия";"автомобиль ФОЛЬКСВАГЕН ГОЛЬФ";"1781674.67";""
"Прокуратура Республики Коми";"2013";"Низовцев И.О.";"супруга";"";"квартира";"индивидуальная";"37.299999999999997";"Россия";"квартира";"67.2";"Россия";"";"779453.21";""
"Прокуратура Республики Коми";"2013";"Низовцев И.О.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"67.2";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Багров А.В.";"";"прокурор Княжпогостского района";"квартира";"долевая 1/3 доли";"74.7";"Россия";"квартира";"64.2";"Россия";"автоприцеп МЗСА 817711";"3112668.81";""
"Прокуратура Республики Коми";"2013";"Багров А.В.";"";"";"жилой дом";"индивидуальная";"45.6";"Россия";"";"";"";"817711 моторная лодка ОБЬ-3";"";""
"Прокуратура Республики Коми";"2013";"Багров А.В.";"";"";"земельный участок";"индивидуальная";"1694";"Россия";"";"";"";"снегоход СКИ-ДУ СКАНДИК";"";""
"Прокуратура Республики Коми";"2013";"Багров А.В.";"супруга";"";"квартира";"долевая 1/3 доли";"74.7";"Россия";"квартира";"64.2";"Россия";"автомобиль  НИССАН  МИСТРАЛЬ ,";"348475.51";""
"Прокуратура Республики Коми";"2013";"Багров А.В.";"супруга";"";"";"";"";"";"";"";"";"автомобиль СУБАРУ ИМПРЕЗА";"";""
"Прокуратура Республики Коми";"2013";"Багров А.В.";"несовершеннолетний ребенок";"";"квартира";"долевая 1/3 доли";"74.7";"Россия";"квартира";"64.2";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Багров А.В.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"74.7";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Багров А.В.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"64.2";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Коткин Д.С.";"";"прокурор Корткеросского района";"квартира";"долевая 1/2 доли";"102.9";"Россия";"";"";"";"";"1531475.27";""
"Прокуратура Республики Коми";"2013";"Коткин Д.С.";"";"";"земельный участок";"долевая 21/62 доли";"62";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2013";"Коткин Д.С.";"";"";"гараж";"индивидуальная";"20.399999999999999";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2013";"Коткин Д.С.";"супруга";"";"квартира";"долевая 1/2 доли";"102.9";"Россия";"";"";"";"автомобиль  ХУНДАЙ  ТЮКСОН";"795447.83";""
"Прокуратура Республики Коми";"2013";"Коткин Д.С.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"102.9";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Бондарев Г.И.";"";"прокурор Сысольского района";"квартира";"индивидуальная";"68";"Россия";"квартира";"48.46";"Россия";"автомобиль ФОЛЬКСВАГЕН ТИГУАН";"1922588.25";""
"Прокуратура Республики Коми";"2013";"Бондарев Г.И.";"супруга";"";"";"";"";"";"квартира";"68";"Россия";"";"252015.2";""
"Прокуратура Республики Коми";"2013";"Бондарев Г.И.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"68";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Бондарев Г.И.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"68";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Василенко Н.Н.";"";"прокурор Прилузского района";"квартира";"";"34";"Россия";"квартира";"75";"Россия";"автомобиль МИЦУБИШИ АУТЛЕНДЕР";"1597298";""
"Прокуратура Республики Коми";"2013";"Василенко Н.Н.";"";"";"квартира";"долевая 1/2 доли";"68";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2013";"Василенко Н.Н.";"супруга";"";"квартира";"долевая 1/3 доли";"56";"Россия";"квартира";"75";"Россия";"";"150700";""
"Прокуратура Республики Коми";"2013";"Василенко Н.Н.";"супруга";"";"квартира";"индивидуальная";"30";"Россия";"жилой дом";"31";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Василенко Н.Н.";"супруга";"";"квартира";"долевая 1/2 доли";"68";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2013";"Василенко Н.Н.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"75";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Соколов И.Н.";"";"прокурор Койгородского района";"квартира";"долевая 1/2 доли";"63.5";"Россия";"квартира";"71.5";"Россия";"автомобиль НИВА ШЕВРОЛЕ";"1225403.92";""
"Прокуратура Республики Коми";"2013";"Соколов И.Н.";"";"";"";"";"";"";"земельный участок";"55";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Соколов И.Н.";"супруга";"";"";"";"";"";"квартира";"71,5";"Россия";"автомобиль ШЕВРОЛЕ ЛАЧЕТТИ";"174932.24";""
"Прокуратура Республики Коми";"2013";"Соколов И.Н.";"несовершеннолетний ребенок";"";"квартира";"долевая 1/2 доли";"63.5";"Россия";"квартира";"71.5";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Соколов И.Н.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"71.5";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Шустов Б.А.";"";"прокурор Удорского района";"квартира";"";"60";"Россия";"квартира";"48.3";"Россия";"";"1407042";""
"Прокуратура Республики Коми";"2013";"Шустов Б.А.";"супруга";"";"жилой дом";"долевая 1/4 доли";"133.19999999999999";"Россия";"квартира";"48.3";"Россия";"";"16067";""
"Прокуратура Республики Коми";"2013";"Шустов Б.А.";"супруга";"";"квартира";"индивидуальная";"60";"Россия";"земельный участок";"829";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Шустов Б.А.";"супруга";"";"гараж";"долевая 1/4 доли";"24.2";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2013";"Шустов Б.А.";"супруга";"";"гараж";"долевая 1/4 доли";"28.8";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2013";"Шустов Б.А.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"48.3";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Рочев П.Л.";"";"прокурор Усть-Вымского района";"квартира";"долевая 1/4 доли";"57";"Россия";"квартира";"54";"Россия";"автомобиль ФОЛЬКСВАГЕН ДЖЕТТА";"1996834";""
"Прокуратура Республики Коми";"2013";"Рочев П.Л.";"супруга";"";"квартира";"долевая 1/4 доли";"57";"Россия";"квартира";"54";"Россия";"автомобиль ВАЗ 21043";"281235";""
"Прокуратура Республики Коми";"2013";"Рочев П.Л.";"несовершеннолетний ребенок";"";"квартира";"";"57";"Россия";"квартира";"54";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Рочев П.Л.";"несовершеннолетний ребенок";"";"квартира";"";"57";"Россия";"квартира";"54";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Лапшин О.В.";"";"прокурор Троицко-Печорского района";"жилой дом";"долевая 1/4 доли";"55";"Россия";"квартира";"52.1";"Россия";"автомобиль НИССАН ПАТФАЙНДЕР";"4228923.95";""
"Прокуратура Республики Коми";"2013";"Лапшин О.В.";"супруга";"";"";"";"";"";"квартира";"52.1";"Россия";"";"153751.14000000001";""
"Прокуратура Республики Коми";"2013";"Лапшин О.В.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"52 ,1";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Юхнин В.В.";"";"Печорский межрайонный прокурор";"квартира";"долевая 1/3 доли";"64.8";"Россия";"квартира";"50.3";"Россия";"автомобиль КИА СПОРТЕЙДЖ";"1600152.64";""
"Прокуратура Республики Коми";"2013";"Юхнин В.В.";"";"";"квартира";"индивидуальная";"53.8";"Россия";"";"";"";"";"";""
"Прокуратура Республики Коми";"2013";"Юхнин В.В.";"супруга";"";"квартира";"долевая 1/3 доли";"56.2";"Россия";"квартира";"53.8";"Россия";"";"1345144.61";""
"Прокуратура Республики Коми";"2013";"Юхнин В.В.";"супруга";"";"";"";"";"";"квартира";"50.3";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Юхнин В.В.";"супруга";"";"";"";"";"";"квартира";"29.2";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Агапов С.А.";"";"прокурор Усть-Куломского района";"";"";"";"";"квартира";"36";"Россия";"автомобиль ЛАДА ПРИОРА";"1405812.12";""
"Прокуратура Республики Коми";"2013";"Агапов С.А.";"супруга";"";"";"";"";"";"квартира";"36";"Россия";"";"24000";""
"Прокуратура Республики Коми";"2013";"Агапов С.А.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"36";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Ложкин В.Н.";"";"прокурор Усть-Цилемского района";"квартира";"индивидуальная";"34.1";"Россия";"квартира";"50.5";"Россия";"автомобиль САНГ ЙОНГ КАЙРОН";"1929635.65";""
"Прокуратура Республики Коми";"2013";"Ложкин В.Н.";"";"";"земельный участок";"индивидуальная";"1300";"Россия";"земельный участок";"44";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Ложкин В.Н.";"супруга";"";"";"";"";"";"квартира";"50.5";"Россия";"автомобиль СИТРОЕН С 4";"397567.34";""
"Прокуратура Республики Коми";"2013";"Ложкин В.Н.";"супруга";"";"";"";"";"";"земельный участок";"44";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Ложкин В.Н.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"50.5";"Россия";"";"";""
"Прокуратура Республики Коми";"2013";"Ложкин В.Н.";"несовершеннолетний ребенок";"";"";"";"";"";"квартира";"50.5";"Россия";"";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2015";"Исаев А.Н.";"";"первый заместитель руководителя управления";"Земельный участок";"Индивидуальная";"5006";"Россия";"Квартира";"69.2";"Россия";"Автомобиль легковой Фольксваген Туарег";"4440761.5999999996";""
"Следственное управление Следственного Комитета по Республике Коми";"2015";"Исаев А.Н.";"";"";"Земельный участок";"Индивидуальная";"4931";"Россия";"Квартира";"56";"Россия";"";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2015";"Исаев А.Н.";"";"";"Квартира";"Общая долевая, 1/4";"35.5";"Россия";"";"";"";"";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2015";"Исаев А.Н.";"Супруга";"";"Квартира";"Общая долевая, 1/4";"35.5";"Россия";"Квартира";"69.2";"Россия";"Автомобиль легковой Мицубиси АСХ";"1513318.91";""
"Следственное управление Следственного Комитета по Республике Коми";"2015";"Исаев А.Н.";"Несовершеннолетний ребёнок";"";"Квартира";"Общая долевая, 1/4";"35.5";"Россия";"Квартира";"69.2";"Россия";"";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2015";"Исаев А.Н.";"Несовершеннолетний ребёнок";"";"";"";"";"";"Квартира";"56";"Россия";"";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2015";"Исаев А.Н.";"Несовершеннолетний ребёнок";"";"Квартира";"Общая долевая, 1/4";"35.5";"Россия";"Квартира";"69.2";"Россия";"";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2015";"Скосырев М.С.";"";"заместитель руководителя управления";"Квартира";"Общая Долевая, 1/4";"57";"Россия";"Стоянка для автомашины";"66.8";"Россия";"Автомобиль легковой Вольво 242";"7304882.4000000004";""
"Следственное управление Следственного Комитета по Республике Коми";"2015";"Скосырев М.С.";"";"";"Земельный участок";"Индивидуальная";"1199";"Россия";"Квартира";"97.3";"Россия";"Автомобиль легковой Тайота Хайлендер";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2015";"Скосырев М.С.";"Супруга";"";"Стоянка для автомашины";"Индивидуальная";"66.8";"Россия";"Земельный участок";"1199";"Россия";"Автомобиль легковой Лэнд Ровер Эвок";"6387183.4000000004";""
"Следственное управление Следственного Комитета по Республике Коми";"2015";"Скосырев М.С.";"";"";"Квартира";"Индивидуальная";"97.3";"Россия";"Квартира";"57";"Россия";"Автомобиль легковой ГАЗ 69";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2015";"Скосырев М.С.";"Несовершеннолетний ребёнок";"";"Квартира";"Общая Долевая, 1/4";"57";"Россия";"Квартира";"97.3";"Россия";"";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2015";"Скосырев М.С.";"Несовершеннолетний ребёнок";"";"";"";"";"";"Земельный участок";"1199";"Россия";"";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2015";"Скосырев М.С.";"Несовершеннолетний ребёнок";"";"";"";"";"";"Квартира";"97.3";"Россия";"";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2015";"Скосырев М.С.";"Несовершеннолетний ребёнок";"";"";"";"";"";"Квартира";"57";"Россия";"";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2015";"Скосырев М.С.";"Несовершеннолетний ребёнок";"";"";"";"";"";"Земельный участок";"1199";"Россия";"";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2014";"Исаев А.Н.";"";"первый заместитель руководителя управления";"Земельный участок";"Индивидуальная";"2659";"Россия";"Квартира";"69.2";"Россия";"Автомобиль легковой Volkswagen";"4603451.75";""
"Следственное управление Следственного Комитета по Республике Коми";"2014";"Исаев А.Н.";"";"первый заместитель руководителя управления";"Квартира";"Общая долевая, 1/4";"35.5";"Россия";"";"";"";"";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2014";"Исаев А.Н.";"Супруга";"";"Квартира";"Общая долевая, 1/4";"35.5";"Россия";"Земельный участок";"2659";"Россия";"Автомобиль легковой Mitsubishi";"1588688.26";""
"Следственное управление Следственного Комитета по Республике Коми";"2014";"Исаев А.Н.";"Супруга";"";"";"";"";"";"Квартира";"69.2";"Россия";"";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2014";"Исаев А.Н.";"Несовершеннолетний ребёнок";"";"Квартира";"Общая долевая, 1/4";"35.5";"Россия";"Квартира";"69.2";"Россия";"";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2014";"Исаев А.Н.";"Несовершеннолетний ребёнок";"";"Квартира";"Общая долевая, 1/4";"35.5";"Россия";"Квартира";"69.2";"Россия";"";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2014";"Скосырев М.С.";"";"заместитель руководителя управления";"Квартира";"Общая Долевая, 1/4";"57";"Россия";"Стоянка для автомашины";"66.8";"Россия";"Автомобиль легковой Mazda";"4402380.3600000003";""
"Следственное управление Следственного Комитета по Республике Коми";"2014";"Скосырев М.С.";"";"заместитель руководителя управления";"Земельный участок";"Индивидуальная";"1199";"Россия";"Квартира";"97.3";"Россия";"Автомобиль легковой Toyota";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2014";"Скосырев М.С.";"";"заместитель руководителя управления";"Квартира";"Общая долевая, 1/2";"96.6";"Россия";"Квартира";"96.6";"Россия";"";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2014";"Скосырев М.С.";"";"заместитель руководителя управления";"";"";"";"";"Земельный участок";"1500";"Россия";"";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2014";"Скосырев М.С.";"Супруга";"";"Стоянка для автомашины";"Индивидуальная";"66.8";"Россия";"Земельный участок";"1199";"Россия";"Автомобиль легковой Ladr Rover";"777210.7";""
"Следственное управление Следственного Комитета по Республике Коми";"2014";"Скосырев М.С.";"Супруга";"";"Квартира";"Общая долевая, 1/2";"97.3";"Россия";"Земельный участок";"1500";"Россия";"";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2014";"Скосырев М.С.";"Супруга";"";"Квартира";"Индивидуальная";"96.6";"Россия";"Земельный участок";"57";"Россия";"";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2014";"Скосырев М.С.";"Несовершеннолетний ребёнок";"";"Квартира";"Общая Долевая, 1/4";"57";"Россия";"Квартира";"97.3";"Россия";"";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2014";"Скосырев М.С.";"Несовершеннолетний ребёнок";"";"";"";"";"";"Квартира";"96.6";"Россия";"";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2014";"Скосырев М.С.";"Несовершеннолетний ребёнок";"";"";"";"";"";"Земельный участок";"1199";"Россия";"";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2014";"Скосырев М.С.";"Несовершеннолетний ребёнок";"";"";"";"";"";"Земельный участок";"1500";"Россия";"";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2014";"Скосырев М.С.";"Несовершеннолетний ребёнок";"";"";"";"";"";"Квартира";"97.3";"Россия";"";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2014";"Скосырев М.С.";"Несовершеннолетний ребёнок";"";"";"";"";"";"Квартира";"57";"Россия";"";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2014";"Скосырев М.С.";"Несовершеннолетний ребёнок";"";"";"";"";"";"Земельный участок";"1199";"Россия";"";"";""
"Следственное управление Следственного Комитета по Республике Коми";"2014";"Скосырев М.С.";"Несовершеннолетний ребёнок";"";"";"";"";"";"Земельный участок";"1500";"Россия";"";"";""
